Original   Calculated 	  Error			Area		Name
198.6      225.9786          13.7858          4250.5            3.jpg
198.6      236.5931          19.1305          4224.5            Wed Feb 02 11-36-29.jpg
198.6      233.294          17.4693          4241.0            Wed Feb 02 11-36-41.jpg
198.6      228.7855          15.1991          4289.0            Wed Feb 02 11-36-44.jpg
198.6      223.7535          12.6654          4306.5            Wed Feb 02 11-36-45.jpg
198.6      225.2466          13.4172          4283.0            Wed Feb 02 11-36-48.jpg
198.6      224.1414          12.8607          4293.0            Wed Feb 02 11-36-50.jpg
198.6      232.0028          16.8191          4335.5            Wed Feb 02 11-36-52.jpg
198.6      221.0912          11.3249          4321.0            Wed Feb 02 11-36-55.jpg
198.6      234.0412          17.8455          4260.5            Wed Feb 02 11-37-00.jpg
198.6      232.0028          16.8191          4230.0            Wed Feb 02 11-37-01.jpg
198.6      223.7528          12.6651          4235.0            Wed Feb 02 11-37-10.jpg
198.6      229.9528          15.7869          4232.5            Wed Feb 02 11-37-12.jpg
198.6      229.9528          15.7869          4230.5            Wed Feb 02 11-37-13.jpg
198.6      227.894          14.7503          4232.0            Wed Feb 02 11-37-14.jpg
198.6      240.5847          21.1403          4076.5            Wed Feb 02 11-37-15.jpg
198.6      233.1202          17.3818          4270.5            Wed Feb 02 11-37-16.jpg
198.6      236.0667          18.8654          4258.0            Wed Feb 02 11-37-19.jpg
198.6      229.7973          15.7086          4265.0            Wed Feb 02 11-37-20.jpg
198.6      231.9576          16.7964          4257.5            Wed Feb 02 11-37-22.jpg
198.6      225.6551          13.6229          4257.5            Wed Feb 02 11-37-24.jpg
198.6      234.1566          17.9036          4259.5            Wed Feb 02 11-37-25.jpg
198.6      234.156          17.9033          4156.5            Wed Feb 02 11-37-27.jpg
198.6      238.3891          20.0348          4240.5            Wed Feb 02 11-37-28.jpg
198.6      237.8878          19.7824          4265.5            Wed Feb 02 11-37-29.jpg
198.6      225.8267          13.7093          4294.5            Wed Feb 02 11-37-32.jpg
198.6      235.5046          18.5824          4377.5            Wed Feb 02 11-37-39.jpg
198.6      225.9782          13.7856          4376.0            Wed Feb 02 11-37-40.jpg
198.6      235.5046          18.5824          4358.5            Wed Feb 02 11-37-45.jpg
198.6      235.5046          18.5824          4360.0            Wed Feb 02 11-37-46.jpg
198.6      229.8638          15.7421          4197.0            Wed Feb 02 11-37-50.jpg
198.6      229.0858          15.3504          4233.5            Wed Feb 02 11-37-51.jpg
198.6      230.7376          16.1821          4249.0            Wed Feb 02 11-37-52.jpg
198.6      230.226          15.9245          4242.0            Wed Feb 02 11-37-53.jpg
198.6      219.7945          10.672          2032.0            Wed Feb 02 11-37-53.jpg
198.6      227.369          14.4859          4250.5            Wed Feb 02 11-37-55.jpg
198.6      221.6734          11.618          4260.5            Wed Feb 02 11-37-56.jpg
198.6      229.8866          15.7536          4273.5            Wed Feb 02 11-37-58.jpg
198.6      229.5963          15.6074          4279.0            Wed Feb 02 11-38-01.jpg
198.6      230.7371          16.1818          4276.0            Wed Feb 02 11-38-02.jpg
198.6      237.8873          19.7821          4266.5            Wed Feb 02 11-38-04.jpg
