Original  Calculated	   Error	     Area		File Name	
99.6      140.4912          41.0554          2253.0            Wed Feb 02 11-41-04.jpg
99.6      124.8916          25.3932          4662.5            Wed Feb 02 11-41-04.jpg
99.6      31.2481          68.6264          14653.0            Wed Feb 02 11-41-04.jpg
99.6      136.6346          37.1833          2257.0            Wed Feb 02 11-41-07.jpg
99.6      65.2373          34.5007          2031.5            Wed Feb 02 11-41-07.jpg 
99.6      23.2866          76.6199          5022.0            Wed Feb 02 11-41-07.jpg  
99.6      16.5646          83.3689          4559.0            Wed Feb 02 11-41-07.jpg  
99.6      249.3617          150.3632          3110.5            Wed Feb 02 11-41-07.jpg
99.6      151.1439          51.7509          2265.5            Wed Feb 02 11-41-17.jpg
99.6      149.8853          50.4872          2205.5            Wed Feb 02 11-41-20.jpg
99.6      0          100.0          32770.5            Wed Feb 02 11-41-20.jpg
99.6      143.6326          44.2094          2290.5            Wed Feb 02 11-41-20.jpg
99.6      130.5103          31.0344          2402.0            Wed Feb 02 11-41-23.jpg
99.6      24.1811          75.7218          3791.5            Wed Feb 02 11-41-23.jpg
99.6      147.4134          48.0054          2334.5            Wed Feb 02 11-41-23.jpg
99.6      137.4313          37.9832          2338.0            Wed Feb 02 11-41-23.jpg
99.6      146.0459          46.6324          2246.0            Wed Feb 02 11-41-28.jpg
99.6      7.2394          92.7315          16097.5            Wed Feb 02 11-41-28.jpg
99.6      136.2715          36.8188          2299.5            Wed Feb 02 11-41-31.jpg
99.6      152.9088          53.5229          2251.5            Wed Feb 02 11-41-31.jpg
99.6      142.3402          42.9118          2306.5            Wed Feb 02 11-41-31.jpg
99.6      152.0071          52.6176          2230.5            Wed Feb 02 11-41-31.jpg
99.6      156.268          56.8956          2256.0            Wed Feb 02 11-41-34.jpg
99.6      16.7541          83.1786          4898.0            Wed Feb 02 11-41-34.jpg
99.6      143.1079          43.6826          2289.0            Wed Feb 02 11-41-34.jpg
99.6      162.3116          62.9635          2230.5            Wed Feb 02 11-41-35.jpg
99.6      18.7162          81.2086          4347.0            Wed Feb 02 11-41-35.jpg
99.6      144.0915          44.6702          2269.0            Wed Feb 02 11-41-35.jpg
99.6      140.261          40.8243          2311.0            Wed Feb 02 11-41-37.jpg
99.6      54.7693          45.0107          5648.0            Wed Feb 02 11-41-37.jpg
99.6      140.261          40.8243          2308.5            Wed Feb 02 11-41-38.jpg
99.6      57.5811          42.1877          5646.0            Wed Feb 02 11-41-38.jpg
99.6      148.6095          49.2063          2313.0            Wed Feb 02 11-41-40.jpg
99.6      15.003          84.9367          9601.0            Wed Feb 02 11-41-40.jpg
99.6      144.0632          44.6418          2316.0            Wed Feb 02 11-41-41.jpg
99.6      13.2414          86.7054          7945.5            Wed Feb 02 11-41-41.jpg
99.6      145.4811          46.0654          2302.5            Wed Feb 02 11-41-42.jpg
99.6      148.4761          49.0724          2316.0            Wed Feb 02 11-41-43.jpg
99.6      139.4662          40.0263          2357.0            Wed Feb 02 11-41-44.jpg
99.6      51.9803          47.8109          3926.0            Wed Feb 02 11-41-44.jpg
99.6      144.8715          45.4533          2365.5            Wed Feb 02 11-41-46.jpg
99.6      138.9943          39.5525          2283.5            Wed Feb 02 11-41-50.jpg
99.6      134.265          34.8042          2284.5            Wed Feb 02 11-41-51.jpg
99.6      156.4152          57.0434          2265.0            Wed Feb 02 11-41-52.jpg
99.6      46.5249          53.2883          4006.0            Wed Feb 02 11-41-52.jpg
99.6      322.9858          224.2829          2701.5            Wed Feb 02 11-41-52.jpg
99.6      68.6065          31.118          3661.0            Wed Feb 02 11-41-52.jpg
