Original  Calculated	 Error 		 Area			Name	
200.4      207.4746          3.5302          18763.5            1.jpg
200.4      203.8869          1.74          19219.0            3.jpg
200.4      206.3932          2.9906          18544.5            Wed Feb 02 11-31-13.jpg
200.4      209.9023          4.7417          18614.5            Wed Feb 02 11-31-19.jpg
200.4      204.3407          1.9664          18587.5            Wed Feb 02 11-31-21.jpg
200.4      205.4351          2.5125          18665.0            Wed Feb 02 11-31-23.jpg
200.4      205.5511          2.5704          18488.0            Wed Feb 02 11-31-25.jpg
200.4      208.3464          3.9653          18372.0            Wed Feb 02 11-31-29.jpg
200.4      205.7454          2.6674          18606.5            Wed Feb 02 11-31-33.jpg
200.4      196.2475          2.0721          19209.0            Wed Feb 02 11-31-43.jpg
200.4      207.37          3.478          18497.5            Wed Feb 02 11-31-56.jpg
200.4      207.7954          3.6903          18474.5            Wed Feb 02 11-31-58.jpg
200.4      201.6635          0.6305          19176.0            Wed Feb 02 11-32-11.jpg
200.4      201.6635          0.6305          19205.0            Wed Feb 02 11-32-12.jpg
200.4      201.6635          0.6305          19202.0            Wed Feb 02 11-32-14.jpg
200.4      203.6917          1.6426          19184.0            Wed Feb 02 11-32-15.jpg
200.4      203.029          1.3119          19005.5            Wed Feb 02 11-32-26.jpg
200.4      208.4482          4.0161          18494.0            Wed Feb 02 11-32-29.jpg
200.4      212.24          5.9082          18772.0            Wed Feb 02 11-32-39.jpg
200.4      220.1843          9.8724          4470.0            Wed Feb 02 11-32-39.jpg
200.4      208.7682          4.1757          18944.5            Wed Feb 02 11-32-41.jpg
200.4      205.1504          2.3705          18783.0            Wed Feb 02 11-32-50.jpg
200.4      205.7138          2.6516          18639.0            Wed Feb 02 11-32-58.jpg
200.4      206.7938          3.1905          18648.0            Wed Feb 02 11-32-59.jpg
200.4      206.7938          3.1905          18647.0            Wed Feb 02 11-33-01.jpg
200.4      205.7138          2.6516          18624.5            Wed Feb 02 11-33-03.jpg
200.4      200.0029          0.1982          19175.5            Wed Feb 02 11-33-07.jpg
200.4      200.0029          0.1982          19175.5            Wed Feb 02 11-33-09.jpg
200.4      198.9033          0.7469          19176.5            Wed Feb 02 11-33-10.jpg
200.4      202.0442          0.8205          19189.5            Wed Feb 02 11-33-12.jpg
200.4      203.488          1.5409          19188.5            Wed Feb 02 11-33-13.jpg
200.4      203.6917          1.6426          19180.5            Wed Feb 02 11-33-14.jpg
200.4      203.8403          1.7167          19221.0            Wed Feb 02 11-33-25.jpg
200.4      203.0224          1.3086          19216.0            Wed Feb 02 11-33-26.jpg
200.4      205.5963          2.593          19212.5            Wed Feb 02 11-33-27.jpg
200.4      202.4359          1.0159          19173.5            Wed Feb 02 11-33-31.jpg
200.4      201.3854          0.4917          19169.0            Wed Feb 02 11-33-32.jpg
200.4      202.4359          1.0159          19174.5            Wed Feb 02 11-33-33.jpg
200.4      202.4359          1.0159          19170.5            Wed Feb 02 11-33-34.jpg
200.4      201.9335          0.7652          19127.0            Wed Feb 02 11-33-40.jpg
200.4      200.8232          0.2112          19164.0            Wed Feb 02 11-33-42.jpg
